LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI
1.0,0.034357168,4.0,0.0,0.0,0.0,14.45736444,0.000708887,3128.255859,391.0161438,391.0161438,-11.51292546
5.0,0.151037261,1.0,4.000407696,14.0,90.0,2.660060895,0.000394217,3071.779053,0.0,391.0161438,-2.660060895
2.0,0.777205765,6.0,0.0,4.0,0.0,11.51292546,0.000723961,3171.748291,0.0,782.0322876,-11.51292546
2.0,0.726574004,8.0,5.547544956,-11.0,0.0,2.331636786,0.000490059,3027.918213,0.0,391.0161438,-2.331636786
5.0,0.381560892,6.0,0.927409947,-5.0,180.0,5.221493938,0.00049465,3054.873535,0.0,874.3386841,-3.024681024
5.0,0.478891462,5.0,1.001588583,-4.0,270.0,4.045965946,0.000590559,3048.323242,0.0,391.0161438,-4.045965946
1.0,-0.244151071,4.0,0.0,-2.0,0.0,11.51292546,0.000238882,3182.272461,874.3386841,1409.828735,-11.51292546
1.0,0.012816601,3.0,2.731513262,10.0,132.7335205,5.121845163,0.000410945,3335.981201,552.9803467,782.0322876,-0.963145458
11.0,0.458833903,7.0,1.365193367,1.0,227.2144928,3.736322094,0.000394716,3177.912354,0.0,782.0322876,-3.736322094
1.0,-0.249252647,2.0,1.003303409,-1.0,270.0,4.044255932,0.000317292,3182.272461,391.0161438,782.0322876,-4.044255932
1.0,-0.057180502,0.0,0.0,0.0,0.0,3.99431871,9.92e-05,3252.191895,1105.960693,2623.016113,-2.782094122
1.0,-0.09406855,0.0,0.0,0.0,0.0,3.99431871,0.000602921,3126.239014,1748.677368,0.0,-2.782094122
2.0,0.730643988,6.0,3.533332825,-7.0,238.3768921,2.784554672,0.000499808,3328.173096,0.0,0.0,-2.784554672
2.0,0.679591,4.0,1.366805911,0.0,312.7229614,4.428288836,0.000903919,3380.031738,0.0,391.0161438,-3.042203966
2.0,0.458361208,15.0,5.039663792,-7.0,336.6089783,2.428190625,0.000396869,3129.997803,0.0,0.0,-2.428190625
1.0,-0.024465352,11.0,4.415840149,-10.0,245.2132263,2.560916644,0.000553775,3432.614746,552.9803467,391.0161438,-2.560916644
1.0,-0.155322865,3.0,2.955033064,5.0,340.1812134,2.963636211,0.000492909,3127.144287,391.0161438,391.0161438,-2.963636211
