LULC=1,LULC=2,LULC=4,LULC=5,LULC=7,LULC=8,LULC=11,LULC_missing,NDVI_missing,Elevation_missing,Slope_missing,Curvature_missing,Aspect_missing,TWI_missing,Drainage_Density_missing,Precipitation_missing,Distance_to_Road_missing,Distance_to_River_missing,SPI_missing,NDVI,Elevation,Slope,Curvature,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Aspect_sin,Aspect_cos
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.26515058,3.0,2.7802885,0.0,3.024681,0.00019,3201.1965,3851.0625,552.98035,-3.024681,1.2246469e-16,-1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24562892,6.0,3.1427703,-10.0,2.9019365,0.000478586,3151.867,0.0,1173.0485,-2.9019365,-0.9555519,-0.29482278
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389077,2.0,1.3645397,-4.0,8.532592,0.000867781,3041.9854,0.0,0.0,1.0585734,-0.73360026,-0.6795812
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69383997,4.0,0.92740995,1.0,4.1228814,0.001132302,3397.1794,0.0,0.0,-4.1228814,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7570613,5.0,3.1437595,-1.0,7.9705253,0.000391909,3145.0603,0.0,0.0,2.167102,-0.9555806,-0.29472992
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48184288,3.0,1.3661284,-5.0,5.5273967,0.000390558,3182.2725,552.98035,0.0,-1.9442273,-0.7343319,0.67879057
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.124120735,6.0,2.1084192,6.0,6.1347785,0.000534384,3457.5515,0.0,0.0,-0.46860766,-0.47608298,-0.8794004
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79213446,0.0,2.1075876,6.0,3.3019602,0.0,3076.2773,5083.21,4708.458,-3.3019602,-0.47544092,0.8797476
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003569908,5.0,0.92740995,0.0,4.1228814,0.000284606,3302.4385,0.0,391.01614,-4.1228814,1.2246469e-16,-1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537344,4.0,0.92740995,3.0,4.1228814,0.000638869,3144.613,391.01614,391.01614,-4.1228814,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20247895,6.0,1.0013888,-15.0,5.6556034,0.000345623,3041.4597,391.01614,0.0,-2.437185,-1.0,-1.8369701e-16
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.08448276,0.0,0.0,0.0,3.9943187,3.05e-05,3039.3547,2977.8901,2977.8901,-2.7820942,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6331618,5.0,2.1084433,7.0,3.301554,0.000753399,3405.9226,0.0,391.01614,-3.301554,-0.4761015,-0.87939036
