LULC=1,LULC=2,LULC=4,LULC=5,LULC=7,LULC=8,LULC=11,LULC_missing,NDVI_missing,Elevation_missing,Slope_missing,Curvature_missing,Aspect_missing,TWI_missing,Drainage_Density_missing,Precipitation_missing,Distance_to_Road_missing,Distance_to_River_missing,SPI_missing,NDVI,Elevation,Slope,Curvature,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Aspect_sin,Aspect_cos
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.279343,-2.3006482,-0.6374762,1.6987162,0.09701106,-2.2067955,0.2003567,2.1495144,-1.0007093,0.10523337,-1.0636116,0.8314469
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2813523,-1.1741668,-0.3197004,-0.4497847,-0.5288134,-2.2765172,0.2003567,3.4776945,0.3476902,-0.27976918,0.005503773,1.2764783
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.3135266,-2.0190277,2.9048612,1.2383232,-1.0112535,-2.1477246,0.2003567,2.957191,-0.04724688,0.18473166,-1.0636532,-1.0471045
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2224307,-1.1741668,-0.87386745,-0.603249,0.29368126,-1.5915606,0.2003567,-0.21823898,-1.0007093,0.07480467,-1.4499062,-0.10785017
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0719385,0.23393472,2.5236251,-2.1378925,-0.9776972,-1.6923946,0.2003567,-0.03672257,1.1312975,0.15242319,1.1759771,0.7148956
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2219732,-1.1741668,0.523801,-0.14285597,-0.7249132,-2.0674284,0.2003567,1.8987775,-1.0007093,-0.09096125,-1.3854693,-0.51520026
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.099755,-1.7374074,1.1395403,1.5452518,-0.82225174,-1.332162,0.2003567,0.6581997,0.3476902,0.0027578762,-1.0635906,0.8314686
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2256942,-0.047685593,0.39785695,-2.4448211,-0.7014362,-2.1477246,0.2003567,2.957191,-0.04724688,-0.11356518,-0.48856324,1.1942729
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.1068275,-1.4557872,-0.63749456,0.77793014,-0.41588742,-1.4347005,0.2003567,0.6581997,-0.04724688,-0.3884961,-1.0635927,-1.0471667
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-3.2578645,-1.4557872,-1.5280358,0.47100142,2.4617202,0.08794733,0.2003567,-0.21823898,-0.04724688,-3.159102,0.005503773,1.2764783
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.1406102,-0.047685593,0.28367704,0.62446576,-0.42233765,-1.8599871,0.2003567,-0.03672257,0.9062155,0.11151172,0.005503773,1.2764783
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.1138287,-0.89254653,2.313497,-2.4448211,-0.95784795,-1.7196891,0.2003567,0.9235639,-0.04724688,0.13331203,0.4995135,-1.4099929
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.3772671,-2.0190277,1.3495,0.93139446,-0.8503827,-2.4224184,0.2003567,4.638566,1.1312975,0.029842764,1.3268384,-0.6882088
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.3191519,-1.4557872,0.7054885,-0.29632032,-0.49991497,-2.653652,0.2003567,5.2228713,1.8596779,0.18621133,-0.84635335,1.0145826
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.211729,-1.4557872,0.28367704,0.47100142,-0.42233765,-1.4086328,0.2003567,1.096419,-1.0007093,0.11151172,0.005503773,1.2764783
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2079275,-0.89254653,0.4332665,-1.2171063,0.41823533,-1.9571817,0.2003567,2.8492963,0.3476902,0.977409,-1.4499062,-0.10785017
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2108889,-1.1741668,1.9497808,0.93139446,-0.920814,-1.9363647,0.2003567,2.411077,-0.04724688,0.09765516,1.3707209,0.37189752
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0452764,0.79717535,2.144888,0.01060837,-0.9411308,-1.5944027,0.2003567,-0.21823898,0.3476902,0.11721653,0.2639132,-1.4701838
