sample_id,POINT_X,POINT_Y,observed_class,split,model,predicted_probability,predicted_class
319,300479.6334,2450011.285,0,train,Random Forest,0.19050771441223266,0
320,301451.8709,2493805.097,0,train,Random Forest,0.4929723430151425,0
321,309030.1245,2468300.422,0,train,Random Forest,0.2660515534033345,0
322,296144.2099,2449185.538,1,test,Random Forest,0.6021697708093039,1
323,304029.7873,2456640.607,1,train,Random Forest,0.7725881378049428,1
324,294892.9339,2479445.921,0,train,Random Forest,0.4770947275935285,0
325,306758.1655,2453684.598,0,train,Random Forest,0.4692871217829844,0
326,309983.5915,2461737.029,1,train,Random Forest,0.7734392231230759,1
327,297098.6801,2479878.843,0,train,Random Forest,0.5435824463974293,1
328,298035.2,2481832.248,0,train,Random Forest,0.2252534802963993,0
329,293851.8207,2439003.852,1,train,Random Forest,0.8026904816906243,1
330,310134.9674,2497957.216,0,validation,Random Forest,0.35983605774864885,0
331,301849.0159,2469235.242,0,train,Random Forest,0.5378746330991322,1
332,293581.6456,2481104.837,0,test,Random Forest,0.42078430100785286,0
333,294712.0394,2480393.247,0,train,Random Forest,0.5547177585000364,1
334,298221.9542,2449301.952,1,test,Random Forest,0.7491595567342112,1
335,310193.1242,2464710.035,1,train,Random Forest,0.80472616780378,1
336,304717.6093,2449444.808,0,train,Random Forest,0.2881419713522506,0
337,303798.171,2468883.618,1,validation,Random Forest,0.7191093629700105,1
338,303852.5936,2468525.189,1,validation,Random Forest,0.3006682153105869,0
339,308951.3125,2495528.627,1,train,Random Forest,0.723959589824563,1
340,302524.6364,2473850.513,0,train,Random Forest,0.4085421820768949,0
341,290478.7231,2485897.131,0,train,Random Forest,0.6811602610469487,1
342,293387.8673,2440256.951,0,test,Random Forest,0.3445552566025801,0
343,305005.9811,2473367.546,0,train,Random Forest,0.5124389037910307,1
344,309099.6586,2496773.766,0,train,Random Forest,0.34277041612137116,0
345,309232.1442,2461908.935,0,train,Random Forest,0.44646629912004776,0
346,311488.0356,2468227.886,0,train,Random Forest,0.48667796429713744,0
347,305448.981,2466648.89,0,train,Random Forest,0.44952691807368517,0
348,310491.2136,2465005.117,0,train,Random Forest,0.5721379865518907,1
349,319864.1954,2480945.103,0,train,Random Forest,0.3741464011779761,0
350,295148.4088,2441347.498,0,train,Random Forest,0.5359832317788686,1
351,308962.8524,2453788.044,0,train,Random Forest,0.3706917091675046,0
352,302076.5517,2496564.66,0,train,Random Forest,0.3318358617855833,0
353,295471.2066,2443203.749,0,test,Random Forest,0.32747674105987656,0
354,301211.331,2452140.573,0,train,Random Forest,0.386606908272334,0
355,311949.1786,2492781.178,0,train,Random Forest,0.37428945513649076,0
356,305457.5212,2463401.623,0,train,Random Forest,0.3408503495501625,0
357,301156.4859,2462815.466,0,train,Random Forest,0.35443138566837334,0
358,295120.4946,2484311.69,0,train,Random Forest,0.7316605668401003,1
359,296808.9444,2477639.734,0,train,Random Forest,0.4362083109642281,0
360,307888.793,2452220.432,0,train,Random Forest,0.5869036428284751,1
361,303125.8629,2471570.645,0,train,Random Forest,0.480431427966944,0
362,312157.2062,2459415.821,1,train,Random Forest,0.7280986407182309,1
363,302355.8278,2476069.346,1,train,Random Forest,0.7090402524091666,1
364,313636.0656,2492174.653,1,train,Random Forest,0.777922673261808,1
365,307296.3495,2462152.637,0,train,Random Forest,0.45416640010737336,0
366,307433.3395,2463309.288,1,train,Random Forest,0.7912499548873204,1
367,306828.6183,2471240.807,0,validation,Random Forest,0.5903831699247771,1
368,312903.8876,2489306.83,0,train,Random Forest,0.3882338771416062,0
369,301813.8485,2491045.742,1,train,Random Forest,0.672277128958944,1
370,309480.6329,2495611.419,0,train,Random Forest,0.2869105071536921,0
371,305291.6992,2459481.251,1,test,Random Forest,0.741692041005227,1
372,312387.5875,2490257.866,0,train,Random Forest,0.4765316804713916,0
373,308708.6329,2467692.193,1,train,Random Forest,0.875453989172946,1
374,303549.0695,2466530.52,1,train,Random Forest,0.7142864987168779,1
375,310028.5313,2485506.594,1,test,Random Forest,0.3938201851367614,0
376,308078.9814,2461389.038,0,test,Random Forest,0.29763062735285556,0
377,302164.6434,2459633.944,1,train,Random Forest,0.7960370134311939,1
378,300197.3828,2493945.295,0,train,Random Forest,0.3177219751570508,0
379,306436.3747,2484751.052,0,train,Random Forest,0.634043284862572,1
380,295408.1276,2484794.513,1,train,Random Forest,0.840592617865962,1
381,311130.7535,2489137.427,0,train,Random Forest,0.3567680046220124,0
382,305910.0588,2451352.65,0,train,Random Forest,0.6308823826692964,1
383,313757.5036,2496300.246,0,train,Random Forest,0.27232833912621035,0
384,313152.6179,2473760.797,0,train,Random Forest,0.5963555541222965,1
385,297281.7702,2447748.249,1,test,Random Forest,0.329653136567518,0
386,294044.4653,2445038.924,0,test,Random Forest,0.5225194910575032,1
387,292088.808,2443685.518,0,test,Random Forest,0.5051837914979148,1
388,305305.2352,2497182.176,0,train,Random Forest,0.35976137089117877,0
389,293399.3201,2440844.292,0,test,Random Forest,0.45941631123903354,0
390,296562.0163,2443008.959,0,test,Random Forest,0.6845312597355871,1
391,305145.7449,2487580.848,0,train,Random Forest,0.4102793652040476,0
392,291989.6649,2438735.923,1,test,Random Forest,0.43858311671788897,0
393,312943.9742,2464117.656,0,train,Random Forest,0.4524010831125696,0
394,308620.8524,2458694.388,1,train,Random Forest,0.818678768253444,1
395,312004.0417,2472868.197,0,train,Random Forest,0.7301610015561186,1
