LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI
-1.4469265,-2.9559197,-0.8925464,1.6454538,-3.212143,-0.25840828,-0.63030446,-1.2301904,-0.07863328,-0.036722597,0.9062154,0.31176132
0.42040575,-0.64963853,-1.1741667,-0.63875353,0.31753707,-0.9696713,0.63287836,0.3189989,-0.41294622,-0.218239,-0.047246892,0.62012357
-0.9800934,0.23833306,-0.8925464,-0.63857377,0.31753707,-0.18461429,-0.41543874,-0.8308865,-0.23803246,-0.6564583,1.1312973,-0.38892797
-1.4469265,-2.7239966,-0.04768546,0.25097695,0.1640727,-0.18491475,-0.6720427,-2.0901601,-0.04704242,0.32342988,0.34769017,-0.14186558
-1.4469265,-2.3595,-0.8925464,0.97244424,0.93139446,-1.263837,0.15074383,-0.9989527,-0.08095135,-0.218239,0.9062154,0.8932968
1.3540719,0.41031668,-1.1741667,-0.31970045,0.1640727,0.24833664,-0.52881336,1.2720419,0.8614125,-0.6564583,0.9062154,-0.27976912
0.42040575,-0.32674167,-0.8925464,-0.08908091,-0.603249,-0.8047495,-0.59347534,-1.38499,-0.1181349,-0.6564583,-1.0007092,-0.21751152
0.42040575,-0.73114276,-1.1741667,-0.31970045,0.0106083695,-1.4025239,-0.52881336,0.664309,-0.41112018,-0.218239,-1.0007092,-0.27976912
1.3540719,0.835806,-1.4557871,-0.63828206,0.7779301,0.68144715,-0.41556007,0.00934321,-0.02588381,-0.218239,-1.0007092,-0.38881117
-1.4469265,-3.0327828,-1.1741667,-0.08748847,1.3917874,-0.34970677,-0.5938849,-1.5857147,0.34152904,-0.218239,2.8131402,-0.21711724
-0.9800934,0.6123325,-2.300648,-1.5280358,0.4710014,-1.4025239,5.0600657,0.6511638,0.97306854,-0.6564583,-1.0007092,-3.159102
-1.4469265,-1.4480119,1.9236567,-0.22327633,-0.14285597,1.073767,-0.55723184,0.08794737,-0.4234399,-0.218239,-0.047246892,-0.25240734
0.42040575,-0.44403246,-0.04768546,-0.6374549,-0.9101777,1.4656353,-0.41590384,-1.5909615,0.5290218,-0.6564583,1.6960896,-0.3884802
0.42040575,-1.4877586,-0.8925464,-0.15488385,-0.29632032,-1.1423134,-0.5761453,-1.7051027,-0.24795254,-0.6564583,-0.047246892,-0.2341972
-1.4469265,-2.305846,-2.300648,-1.5280358,0.0106083695,-1.4025239,-0.32004067,-1.8919576,1.3603674,0.72931284,-0.047246892,-0.048952807
-0.9800934,0.54118335,-1.7374073,-0.6389506,1.2383231,-0.18440801,-0.008813489,-1.1137497,-0.3942523,0.9235639,0.9062154,0.002175671
-1.4469265,-3.106334,-2.300648,-1.5280358,0.0106083695,-1.4025239,-0.32004067,-3.0350132,0.20035698,3.1132467,7.145677,-0.048952807
-1.4469265,-2.4196153,-1.7374073,-0.92370987,1.8521805,0.24833664,-0.2724745,-0.309636,0.04899272,-0.6564583,-0.047246892,-0.52657616
0.42040575,0.46808314,-0.8925464,-0.15405577,-0.603249,-1.1417271,-0.31991538,1.4929359,1.0008671,-0.6564583,-0.047246892,0.01288637
0.42040575,0.4933116,-1.1741667,-0.08701105,-0.603249,0.8464605,-0.59400755,0.9123194,0.80715954,-0.6564583,-1.0007092,-0.2169991
0.42040575,-0.64893156,-2.300648,-1.5280358,0.0106083695,-1.4025239,-0.32004067,-2.738264,0.12933642,0.32342988,3.7666025,-0.048952807
1.3540719,0.18044561,-0.32930577,0.43343204,0.31753707,1.073767,1.8947146,-0.22899547,0.96745205,-0.6564583,-1.0007092,2.3990436
