POINT_X,POINT_Y,LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Class
288408.1346,2491384.324,1,-0.216702342,2,5.450930595,1,132.7309418,3.958750359,0.000378566,,552.9803467,391.0161438,-0.739958364,0
289064.4826,2492880.411,1,-0.247984409,3,2.108365297,3,28.42718887,5.093350428,0.000366948,,1955.080688,782.0322876,-1.510057813,0
287856.529,2490263.141,5,0.462507606,6,2.210665464,4,294.7932129,3.947325145,0.000293572,,391.0161438,391.0161438,-2.561160284,0
288196.6247,2492847.73,1,-0.253399134,6,0,0,0,11.51292546,0.000412059,,1955.080688,552.9803467,-11.51292546,1
285427.0431,2494331.314,1,-0.265150577,3,2.780288458,0,180,3.024681056,0.00019,,3851.0625,552.9803467,-3.024681056,0
287608.1194,2491322.414,1,-0.28922832,4,1.366596818,-1,312.7310486,3.73529464,0.000358261,,391.0161438,391.0161438,-3.73529464,1
286791.4418,2490980.667,5,0.424615502,4,1.366580486,5,47.26831436,5.344744503,0.000343822,,391.0161438,1173.048462,-2.126203941,1
288312.3382,2490359.864,5,0.414194822,2,0.927409947,3,0,7.213924102,0.000276538,,552.9803467,0,-1.032428676,1
312073.5965,2460458.868,5,0.245628923,6,3.14277029,-10,252.8530884,2.901936578,0.000478586,3151.866943,0,1173.048462,-2.901936578,0
302900.9884,2447899.132,5,0.389077008,2,1.364539742,-4,227.1890717,8.532591513,0.000867781,3041.985352,0,0,1.058573325,1
304971.2091,2498138.842,2,0.693839967,4,0.927409947,1,0,4.122881649,0.001132302,3397.179443,0,0,-4.122881649,0
311601.882,2465812.77,2,0.757061303,5,3.143759489,-1,252.8586578,7.970525501,0.000391909,3145.060303,0,0,2.167101995,1
292748.517,2442110.652,2,0.792435586,8,1.364262462,-4,227.1782837,5.528763653,0.000268709,,2503.724854,391.0161438,-1.945594543,0
295041.0022,2481484.276,5,0.481842875,3,1.366128445,-5,312.7492065,5.527396884,0.000390558,3182.272461,552.9803467,0,-1.944227296,0
312962.9699,2494304.16,1,-0.124120735,6,2.10841918,6,208.4298859,6.13477873,0.000534384,3457.551514,0,0,-0.468607652,1
296536.1763,2467646.374,2,0.792134464,0,2.107587576,6,331.6119385,3.301960134,0,3076.277344,5083.209961,4708.458008,-3.301960134,0
310933.8704,2488157.391,1,0.003569908,5,0.927409947,0,180,4.122881649,0.000284606,3302.438477,0,391.0161438,-4.122881649,1
308383.0333,2459590.463,2,0.817804992,7,2.207081795,2,294.8362427,3.25580155,0.00088363,3127.159424,0,391.0161438,-3.25580155,0
306561.3613,2467412.959,5,0.74694562,8,3.837271214,-6,164.8790894,2.701819698,0.001052482,3142.224121,0,1105.960693,-2.701819698,1
292193.8109,2439307.105,2,0.798406959,9,2.106719971,2,151.6556702,3.302372136,0.000268801,,782.0322876,0,-3.302372136,0
311038.271,2465871.522,5,0.537343979,4,0.927409947,3,0,4.122881649,0.000638869,3144.613037,391.0161438,391.0161438,-4.122881649,0
298604.25,2452225.658,5,0.202478945,6,1.001388788,-15,270,5.655603283,0.000345623,3041.459717,391.0161438,0,-2.437184985,0
295733.2942,2454253.919,1,-0.084482759,0,0,0,0,,3.05E-05,3039.354736,2977.890137,2977.890137,,0
309117.9835,2495115.313,7,0.633161783,5,2.10844326,7,208.4310913,3.301553958,0.000753399,3405.922607,0,391.0161438,-3.301553958,0
305822.7349,2487851.914,1,-0.205053061,3,3.42703867,2,215.8112335,3.508317112,0.000335256,3246.594238,391.0161438,391.0161438,-2.122106235,0
309576.9383,2491254.063,1,-0.105337813,0,0,0,0,12.61153775,0.000459997,3334.414795,0,391.0161438,-11.51292546,0
312720.2385,2493043.092,1,-0.05426272,6,1.36669457,7,132.7272644,3.735223116,0.000485299,3439.47998,782.0322876,782.0322876,-3.735223116,1
298283.5998,2480966.889,1,-0.256934226,4,1.366106391,7,312.750061,4.428800738,0.000242529,3182.272461,782.0322876,782.0322876,-3.042715976,0
307786.0918,2457323.183,5,0.454423696,4,0,3,0,12.20607265,0.000667042,3084.219971,0,874.3386841,-11.51292546,0
318381.169,2495262.512,1,-0.050080776,0,0,0,0,,0.000455449,3509.881348,1236.501587,391.0161438,,0
311572.5605,2458353.422,5,0.233207062,5,1.36503756,-4,312.7915649,4.429583404,0.000379145,3108.013184,391.0161438,0,-3.043498807,1
309852.7673,2467682.253,2,0.76155889,6,3.529079437,-9,121.665741,4.395199958,0.00069606,3128.544922,0,391.0161438,-1.176453839,1
313622.0121,2496092.717,7,0.307217151,10,4.416234016,1,245.2156067,2.560827111,0.000614223,3485.223633,0,391.0161438,-2.560827111,1
308975.4634,2451327.004,2,0.723786592,11,3.141082525,-5,72.84356689,3.595621915,0.000376142,3037.477295,874.3386841,874.3386841,-2.209418654,0
305463.966,2470236.644,5,0.581344247,4,1.365598083,4,132.7697906,3.736025697,0.000907096,3143.306152,0,0,-3.736025697,0
308094.1473,2470950.912,2,0.793896496,7,2.107692719,2,28.39335823,3.301910216,0.000809715,3135.346436,0,782.0322876,-3.301910216,0
294816.2845,2446905.599,11,0.319275439,0,0,0,0,,0.000184342,3077.211426,1612.200928,2378.458252,,0
306756.8482,2472652.874,7,0.671901822,7,2.004819155,-2,90,3.35197924,0.000663378,3140.975586,0,391.0161438,-3.35197924,0
311732.0258,2465737.268,5,0.638335168,5,2.729225874,2,47.22203064,8.053877767,0.000353164,3145.710449,0,0,1.967184467,1
311274.6961,2497402.933,7,0.34885487,6,4.094510078,-3,47.28089905,6.443398362,0.000741286,3455.76001,0,0,1.169790037,0
